Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
528,1,0,0,0,0,0,0,0,0,0,0,0.566667,0,0,0,0,0,0,0.333333,0,0.3,0,0,0,0.466667,0,0.166667,0.266667,0.833333,1,
529,1,0,0,0.322034,0,0,0,0,0,0.0169492,0,1,0,0,0,0.508475,1,0,0,0.423729,0.40678,0.661017,0.59322,0,1,0,0.0169492,0.949153,1,1,
530,1,0,0,0.010101,0,0,0,0,0,0,0,0.191919,0.040404,0,0,0.030303,0.0505051,0,0.808081,0,0.212121,0.010101,0,0.0707071,0.909091,0.636364,0.818182,0.212121,0.676768,1,
531,1,0,0.0625,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0.0875,0,0.55,0.5875,0.1875,0.3,0,0,1,
532,1,0,0,0.0792079,0,0.019802,0.0693069,0,0,0,0,0,0,0,0,0,0,0,0.247525,0,0,0,0,0.613861,0.19802,0,0.158416,0,0,1,
533,1,0,0,0.0186335,0,0,0,0,0,0,0,0.453416,0.757764,0,0,0.403727,0,0,0,0,0.21118,0.869565,0,0.881988,1,0.925466,0,0.819876,0.453416,1,
534,1,0,0,0.0285714,0,0,0,0,0,0,0,0.421429,0,0,0,0.0142857,0,0.65,0.621429,0,0.135714,0,0,0,0.735714,0,0.407143,0.378571,0.814286,1,
535,1,0,0,0,0,0,0,0,0,0,0.558333,0.875,0,0,0,0,0,0,0.833333,0,0.05,0.0583333,0,0.0166667,0.675,0.133333,0.783333,0.525,0.991667,1,
536,1,0,0,0.0322581,0,0,0,0.016129,0,0,0,0.870968,0,0,0,0.629032,0.419355,0,0.774194,0,0,0.435484,0.129032,0.306452,1,0,0.709677,0.516129,1,1,
537,1,0,0,0.0104712,0,0.0052356,0,0,0,0,0,0.701571,0,0,0,0.308901,0.732984,0,0.251309,0,0.109948,0,0,0,1,0,0.13089,0.712042,1,1,
538,1,0,0,0.0344828,0,0,0,0,0,0,0,0.137931,0,0,0,0,0,0,1,0,0.275862,0,0,0,1,0,0.965517,0.62069,0.965517,1,
539,1,0,0,0,0,0,0,0,0,0,0,0.296296,0,0.296296,0,0,0.0740741,0,1,0,0,0,0,0,1,0,0.888889,0.148148,0.888889,1,
540,1,0,0,0.0275862,0,0.0137931,0,0,0,0,0.137931,0.358621,0.00689655,0,0,0.0206897,0.786207,0,0.613793,0.0689655,0.241379,0.0827586,0.0206897,0.331034,0.965517,0.248276,0.634483,0.517241,0.993103,1,
541,1,0.107527,0,0.666667,0,0.225806,0.333333,0.741935,0,0.0107527,0,0,0,0,0,0,0,0,0.0752688,0,0.0215054,0,0,0.860215,0.215054,0.365591,0.322581,0.11828,0,1,
542,1,0,0,0.117647,0,0.0748663,0,0,0,0,0,0.695187,0.0160428,0,0,0.508021,0.877005,0,0.347594,0.0427807,0.224599,0.363636,0.84492,0.0427807,0.994652,0,0.144385,0.73262,1,1,
543,1,0,0,0.025,0,0,0,0,0,0,0,1,0,0,0,0.675,0.575,0,0,0,0.375,0.55,0,0.25,0.75,0.525,0,0.525,1,1,
544,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.33913,0.817391,0,0.773913,0.0608696,0.130435,0.0956522,0,0,0.921739,0,0.721739,0.130435,1,1,
545,1,0,0,0,0,0,0,0,0,0,0,0,0.117647,0,0,0,0,0,0.220588,0,0,0.0735294,0,0.838235,0.75,0.0294118,0.191176,0,0,1,
546,1,0,0,0.00714286,0,0.0357143,0,0,0,0,0,0.271429,0,0,0,0.0285714,0.314286,0,0.528571,0,0,0.35,0,0.478571,0.957143,0.207143,0.692857,0.607143,0.985714,1,
547,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.05,0,0.2,0,0.7,0,0,0,0.7,0,0.2,0.1,1,1,
548,1,0,0,0.0594059,0,0,0,0,0,0,0,0.762376,0.029703,0,0,0.049505,0.90099,0,0.227723,0,0.019802,0.19802,0,0.633663,0.950495,0.188119,0.326733,0.029703,1,1,
549,1,0,0,0.0224719,0,0,0,0,0,0,0,0.303371,0.539326,0,0,0.157303,0,0,0.426966,0,0.0898876,0.707865,0,0.977528,0.876404,1,0.269663,0.101124,0.179775,1,
