Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217391,0,0,0,0,0,0,0,1,
52,1,0.05,0,0,0,0,0,0.05,0,0,0,0.566667,0,0,0,0.266667,0.516667,0,0.6,0.05,0.283333,0.283333,0.0333333,0.733333,0.95,0.616667,0.533333,0.55,0.883333,1,
53,1,0,0,0,0,0,0,0,0,0,0,0.701754,0,0.00877193,0,0.412281,0.22807,0.368421,0.45614,0,0.508772,0.780702,0,0.587719,1,0.324561,0.0701754,0.526316,0.921053,1,
54,1,0,0.282609,0,0,0,0,0,0,0,0,0,0.173913,0,0,0,0,0,0,0,0,0,0,1,0.456522,1,0,0,0,1,
55,1,0,0,0,0.02,0.02,0,0,0,0,0.82,1,0,0,1,0.88,0.02,0,1,0,0.56,1,0.04,1,1,0.02,0.02,1,1,1,
56,1,0,0,0,0.191489,0,0,0,0.0070922,0,0,0.248227,0.347518,0,0,0.0992908,0,0,0,0,0.0070922,0.411348,0,0.0921986,0.539007,0.411348,0,0,0.914894,1,
57,1,0,0,0,0,0.027027,0,0.0540541,0,0,0,0.756757,0,0,0,0.486486,0.162162,0,0.891892,0.162162,0.675676,0.648649,0.0810811,0.432432,1,0.972973,0.621622,0.486486,0.918919,1,
58,1,0,0,0,0.584906,0.113208,0,0,0,0,0.301887,1,0,0,0.622642,0.924528,0.584906,0,1,0.132075,1,1,0.0377358,1,1,0.320755,0.603774,1,1,1,
59,1,0,0,0,0.266667,0,0,0,0,0.146667,0,0,0.666667,0,0,0,0,0,0,0,0,0.986667,0,0,0.186667,0,0,0,0,1,
60,1,0,0,0,0.166667,0,0.715686,0,0,0.00980392,0,0,0.284314,0,0,0,0,0,0.00980392,0,0,0.313725,0,0.303922,0.45098,0,0,0.362745,0,1,
61,1,0,0,0,0,0,0,0,0,0,0,0.459016,0,0,0,0.0819672,0.213115,0.557377,0.688525,0,0.42623,0.672131,0,0.409836,1,0.0491803,0.42623,0.0819672,0.622951,1,
62,1,0,0.793103,0,0.12069,0,0,0,0,0,0,0.0431034,0.146552,0,0,0,0,0,0.0172414,0.0172414,0,0.267241,0,0.896552,0.991379,0.00862069,0,0,0,1,
63,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.09375,0.25,1,0.0625,0.09375,0,0.15625,0.78125,1,0,0.96875,0.40625,0.78125,1,
64,1,0,0,0,0.217391,0,0,0,0,0,0.0434783,0.956522,0,0,0,0.304348,0.26087,0.0434783,1,0.565217,0.826087,0.347826,0,1,1,0,0.869565,0.73913,1,1,
