Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
1028,1,0,0.329341,0,0.00598802,0,0,0,0,0,0,0,0.652695,0,0,0,0,0,0.718563,0,0.0718563,0.646707,0,0.97006,1,0.359281,0,0.155689,0.125749,1,
1029,1,0,0,0.507937,0.142857,0.0555556,0,0.0238095,0,0,0,0,0,0,0,0,0,0,0.325397,0,0.031746,0.333333,0,0.84127,0.436508,0.579365,0.119048,0.015873,0.00793651,1,
1030,1,0,0.974359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641026,0,0.230769,0.25641,0,1,1,0.615385,0,0.615385,0,1,
1031,1,0,0,0.6875,0.1375,0.5625,0,0.0125,0,0,0,0,0.225,0,0,0,0,0,0,0,0,0,0,0.7,0.3625,0.1875,0,0,0,1,
1032,1,0,0,0.256098,0.109756,0.560976,0,0.170732,0,0.0365854,0,0,0,0,0,0,0,0,0.158537,0,0,0.0121951,0,0.243902,0.0121951,0,0.0243902,0,0,1,
1033,1,0,0,0.46988,0,0,0,0.433735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144578,0,0.385542,0,0,0,1,
1034,1,0,0,0.142857,0.142857,0.559524,0,0,0,0,0,0,0.654762,0,0,0,0,0,0.464286,0,0,0.25,0,0.75,0.22619,0.333333,0.416667,0.0714286,0,1,
1035,1,0.00961538,0,0,0.192308,0,0,0,0.557692,0,0,0.384615,0.201923,0,0,0.115385,0.0384615,0.00961538,0.365385,0,0.0865385,0.0576923,0.317308,0.403846,0.711538,0,0.326923,0.336538,0.701923,1,
1036,1,0,0.813333,0.12,0,0,0,0.0533333,0,0,0,0,0,0,0,0,0,0,0.92,0.12,0,1,0,1,1,0.986667,0.746667,0,0,1,
1037,1,0.132743,0.0530973,0.256637,0.778761,0.663717,0.00884956,0,0,0,0,0,0.353982,0,0,0,0,0,0.548673,0,0.079646,0.415929,0,0.973451,0.619469,0,0.415929,0.185841,0,1,
1038,1,0.0181818,0,0,0.030303,0,0.127273,0,0.339394,0,0.0242424,0.630303,0.29697,0.0969697,0,0.981818,0.369697,0,0.478788,0,0.0969697,0.10303,0.0848485,0,0.872727,0.0121212,0.127273,0.587879,1,1,
1039,1,0,0,0,0,0,0,0,0.0877193,0,0,0.666667,0.122807,0.719298,0,0.842105,0.77193,0,0.754386,0,0.210526,0.929825,0.280702,0,0.982456,0,0.649123,0.333333,0.929825,1,
1040,1,0,0,0,0.109948,0,0,0,0.973822,0,0.052356,0.748691,0.753927,0.141361,0,0.78534,0.596859,0,0.109948,0,0.0890052,0.471204,0.664921,0.460733,1,0,0.0680628,0.251309,1,1,
1041,1,0,0,0.244094,0,0.015748,0.0314961,0.551181,0,0,0,0,0.204724,0,0,0,0,0,0,0,0.0472441,0.181102,0,0.496063,0.0708661,0,0,0.149606,0,1,
1042,1,0,0.0208333,0.03125,0.0208333,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.34375,0,0,0.572917,0,0.989583,1,0.90625,0.28125,0.03125,0,1,
1043,1,0,0,0,0,0,0.196429,0,0.232143,0,0,0,0,0,0,0.0535714,0.125,0,0,0,0,0.482143,0.0714286,0.303571,0.285714,0.660714,0,0,0.625,1,
1044,1,0,0,0.1375,0,0.2375,0.4125,0.0125,0,0.05,0,0.025,0.1125,0,0,0.0125,0.0125,0,0.025,0,0.0625,0.025,0,0.4375,0.05,0,0,0.075,0.1,1,
1045,1,0,0,0,0,0,0.0240964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939759,0.26506,0,0,0,0,1,
1046,1,0.0769231,0,0,0,0,0,0,0,0,0,0,0.25641,0,0,0,0,0,0.128205,0,0.128205,0.025641,0,1,0.974359,0.153846,0,0.307692,0,1,
1047,1,0.0119048,0,0.619048,0.047619,0,0,0.869048,0,0.261905,0,0,0.0119048,0,0,0,0,0,0,0,0,0.166667,0,0.535714,0.119048,0,0,0,0,1,
1048,1,0.106667,0,0,0,0,0,0,0,0,0,0,0.0266667,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,1,
1049,1,0,0.391304,0.0144928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73913,0,0,0.898551,0,1,1,1,0.449275,0.115942,0,1,
1050,1,0,0,0.015873,0,0,0,0,0,0,0,0.634921,0,0,0,0.619048,0.587302,0,0,0,0.0634921,0.206349,0.126984,0,0.714286,0,0,0.047619,0.84127,1,
1051,1,0,0,0,0,0,0,0,0,0,0,0.3125,0.166667,0,0,0.21875,0.916667,0,0,0,0,0.0208333,0.0416667,0,0.927083,0.0520833,0,0,0.96875,1,
1052,1,0,0,0.105769,0.163462,0,0,0,0,0,0,0,0.230769,0,0,0,0,0,0,0,0,0.0769231,0,0.538462,0.288462,0.0480769,0,0,0,1,
1053,1,0,0,0.0492958,0,0.0140845,0.0915493,0,0,0,0,0.21831,0.485915,0.119718,0,0.28169,0.0704225,0,0.0422535,0,0.0211268,0.366197,0,0.190141,0.253521,0.21831,0.105634,0.00704225,0.295775,1,
1054,1,0,0,0,0.215686,0,0,0,0.0784314,0.117647,0,0.990196,0,0.117647,0,0.960784,0.882353,0.00980392,0.401961,0.0490196,0.127451,0.0196078,0.333333,0,0.960784,0.0686275,0.372549,0.0294118,0.990196,1,
1055,1,0,0,0,0.0869565,0,0,0,0,0,0,1,0,0.869565,0,1,1,0.347826,0.695652,0,0.0434783,0,0.608696,0,1,0,0.695652,0.173913,1,1,
1056,1,0,0,0.172414,0,0,0.0172414,0.224138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310345,0,0.0517241,0,0,0,0.103448,0,1,
1057,1,0.0818182,0,0,0.154545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154545,0,0,0.0545455,0,0,1,
1058,1,0,0,0.97619,0.714286,1,0,0,0,0,0.285714,0,0.309524,0,0,0.142857,0,0,0,0,0,0,0,0.619048,0.619048,0,0,0.166667,0,1,
1059,1,0,0,0,0,0,0,0,0,0,0.115044,0.699115,0,0.362832,0,0.814159,0.787611,0,0.495575,0,0.079646,0.0973451,0.362832,0,0.920354,0,0.424779,0.256637,0.884956,1,
