,CD4,CD4_FoxP3,CD4_ki67,CD8,CD8_CD4_FoxP3,CD8_ki67,Undef
152Sm_FAP-160Gd_PDGFRa-,-3.190405307984544,-1.681166864014027,-1.3453884090594503,-4.18229567230568,-2.7929454497396233,-2.4065228436904897,-4.84110735397399
152Sm_FAP+171Yb_PDGFRb+,-8.493307116636132,-9.132981580732329,-8.217282295050603,-10.226268796665675,-8.217862041572092,-5.2736308511273275,-12.709076772551148
152Sm_FAP+171Yb_PDGFRb-,-4.665064394642919,-1.6767502667331406,-1.9751554940420977,-4.413948866785236,-4.289193691839717,-1.9157313881549711,-6.475476967861965
152Sm_FAP-171Yb_PDGFRb+,-2.950762932217699,-1.951761697759194,-2.9583263260556563,-0.9668913381406233,2.1345512949438334,-2.6385919536924765,-5.17496036318079
152Sm_FAP-171Yb_PDGFRb-,-3.938283527410534,-1.0167620764992773,-2.298828425261967,-2.7471686843372134,-2.610948278455125,-3.233920771515424,-6.549335611133196
160Gd_PDGFRa+171Yb_PDGFRb+,-7.924233879139706,-7.917440350139443,-8.800676223544286,-7.7471148886322165,-5.8059950441671555,-5.682345670792249,-12.212061498886444
160Gd_PDGFRa+171Yb_PDGFRb-,-4.747191916552072,-1.7700183481937375,-2.8051788180921724,-3.3152904373524685,-2.7952939579486498,-2.252346768106134,-6.859332961248483
160Gd_PDGFRa-171Yb_PDGFRb+,-3.382121043915806,-3.654700581167312,-2.4263449495416745,-4.310359663424825,-1.3641732987772475,-1.7965431608669788,-4.966687349805272
160Gd_PDGFRa-171Yb_PDGFRb-,-3.800148335548872,-0.819155528628704,-1.3957839712230933,-3.733045112635222,-4.166614606644169,-2.979352888447687,-5.693507316250087
141Pr_aSMA+152Sm_FAP+160Gd_PDGFRa+,-7.528889485503263,-7.100754944320687,-6.387277751295787,-9.994496738231682,-8.377277743448948,-5.428680218639056,-9.979712701949989
141Pr_aSMA+152Sm_FAP+160Gd_PDGFRa-,-2.6330290233597453,-2.6405040303851632,-1.7921883259691989,-2.7791274840064712,-2.675075456237586,-0.9549899360039912,-3.7373191321979906
141Pr_aSMA+152Sm_FAP-160Gd_PDGFRa+,-3.6302323914033403,-2.836267297759933,-3.3216253956879003,-1.7306090207772507,-0.29738330443558103,-1.0764127913581856,-4.532109180362707
141Pr_aSMA+152Sm_FAP-160Gd_PDGFRa-,-1.2446590924147276,0.4792167874487659,-1.643109940237269,-1.230685716491379,-0.6325543342953246,-0.9884075243132213,-1.4758222281705409
141Pr_aSMA-152Sm_FAP+160Gd_PDGFRa+,-4.7851635433411674,-4.304526242157961,-4.780583784777931,-4.084514562627805,-3.6971109534019595,-1.607256509443987,-7.7185053099358365
141Pr_aSMA-152Sm_FAP+160Gd_PDGFRa-,-2.8360410714932445,-1.3867662138639727,-1.5870502978117804,-2.8428561081687302,-1.0220675573132993,-2.469010254924058,-4.673543032548192
141Pr_aSMA-152Sm_FAP-160Gd_PDGFRa+,-2.2036133285250528,-0.24011360034274223,-2.3794486101150136,0.6176301005244267,1.7647442949107366,-3.3008253520745345,-5.528759290912434
141Pr_aSMA-152Sm_FAP-160Gd_PDGFRa-,-3.0614351729243108,-1.8344948343322192,-0.9089793041423512,-4.066721174769103,-2.7939325257356526,-2.1786547119966735,-4.536597294695729
141Pr_aSMA+152Sm_FAP+171Yb_PDGFRb+,-7.129993963347192,-7.385830964337546,-6.4186012774230505,-8.932185106697476,-7.688140456705469,-4.9221932530788335,-9.884591425261481
141Pr_aSMA+152Sm_FAP+171Yb_PDGFRb-,-2.9577173683232134,-2.0784861034153708,-1.4801359873765367,-4.316981741369872,-4.177611513663628,-1.3203083262438704,-4.140742951093115
141Pr_aSMA+152Sm_FAP-171Yb_PDGFRb+,-3.3871382777011148,-2.8561807306061087,-3.297150372334471,-1.5639326169977708,-0.46092454563214796,-1.750181961592728,-3.9566842930473523
141Pr_aSMA+152Sm_FAP-171Yb_PDGFRb-,-1.8019720154337955,0.30462645804701294,-1.7052857008008357,-1.3541218227537537,-0.20552315254778425,0.30547802274889824,-2.361790267070095
141Pr_aSMA-152Sm_FAP+171Yb_PDGFRb+,-4.680268138580052,-5.274965870586523,-5.538447529767993,-4.776647912118048,-3.4927296803576073,-2.388566308020452,-8.192428277782994
141Pr_aSMA-152Sm_FAP+171Yb_PDGFRb-,-3.7610065284577323,-0.36534666330337273,-1.3255918166498997,-2.0484964348005748,-1.7982754467109618,-1.4031271530973948,-4.43585349475198
